Hallo Hello
Danke Thank You
Nein No
Ja Yes
Lecker Delicious
Woche week
Heute today
Morgen tomorrow
Gestern yesterday
Machen do
Gehen go
Kommen come
Lachen laugh
Good gut
Schön beautiful
Kaffee coffee
Bier beer
Tee tea
Wein wine
Wasser water
Lamm  lamb
Fisch fish
Nett nice
Sauber clean
Fein fine
Lieb dear
Liebe love
Komisch funny
Klasse great
Hoch high
Prima fantastic
Stark Strong
Lang long
Hell bright
Fähig capable
Kurz short
Klein small
Groß Big
Wunderbar wonderful
Ratte rat
Dunkel dark
Bye Tschüss

